track_genre,dataset_track_id,dataset_track_name,dataset_artists,dataset_album_name,dataset_popularity,api_track_id,api_track_name,api_artist_names,api_artist_ids,api_album_id,api_album_name,api_release_date,api_popularity,popularity_changed,api_duration_ms,api_explicit,api_is_playable,api_spotify_url,api_isrc,play_count,play_count_note
classical,7wrYBASu0OoxoDErd4Edxd,Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein,58,7wrYBASu0OoxoDErd4Edxd,Zara Zara,Bombay Jayashri,5OTt6O4Q22YsqZDaWV6FqC,2wYCe7tPgYvU2A1o6iF9hx,Rehnaa Hai Terre Dil Mein,2001-10-19,,,298266,False,True,https://open.spotify.com/track/7wrYBASu0OoxoDErd4Edxd,INH100152390,,Not available from the official Spotify Web API
classical,72HdutlIHBZJ7WT1xVAAZT,Kajra Re,Shankar;Ehsaan;Loy;Alisha Chinai;Shankar Mahadevan;Gulzar,Bunty Aur Babli,59,72HdutlIHBZJ7WT1xVAAZT,Kajra Re,Shankar-Ehsaan-Loy;Alisha Chinai;Shankar Mahadevan;Javed Ali;Gulzar,0L5GV6LN8SWWUWIdBbTLTZ;4mBxoO0pAcMbAwuTcrcLMc;1SJOL9HJ08YOn92lFcYf8a;4W91bbPB2CTSsHwt7eqNl7;0yRC5n90spXG0d3aiDQ0vB,5qO12aRQP26eh6XeplVIC9,Bunty Aur Babli,2005-04-15,,,482586,False,True,https://open.spotify.com/track/72HdutlIHBZJ7WT1xVAAZT,INY090500039,,Not available from the official Spotify Web API
country,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber)",78,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay;Justin Bieber,7z5WFjZAIYejWy0NI5lv4T;1uNFoZAHBGtllmzznpCI3s,4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)",2019-10-04,,,167693,False,True,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,USWB11902440,,Not available from the official Spotify Web API
country,6AHJTA1BN7ePfChCwqph3z,Country On,Luke Bryan,Country USA,0,6AHJTA1BN7ePfChCwqph3z,Country On,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,49yfQ3mk1d5hhvUVSroZJv,Country USA,2022-10-17,,,236817,False,True,https://open.spotify.com/track/6AHJTA1BN7ePfChCwqph3z,USUG12204780,,Not available from the official Spotify Web API
edm,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers;Halsey,Closer,84,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers;Halsey,69GGBxA162lTqCwzJG5jLp;26VFTg2z8YR0cCuwLzESi2,0rSLgV8p5FzfnqlEk4GzxE,Closer,2016-07-29,,,244960,False,True,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,USQX91601347,,Not available from the official Spotify Web API
edm,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake;Justin Bieber,Encore,84,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake;Justin Bieber,540vIaP2JwjQb9dm3aArA4;1uNFoZAHBGtllmzznpCI3s,02sEJTj1sye1JaqxqpcSCp,Encore,2016-08-05,,,205946,False,True,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015,,Not available from the official Spotify Web API
hip-hop,1aL9518P5G72N92b48tuKw,Summer High,AP Dhillon,Summer High,83,1aL9518P5G72N92b48tuKw,Summer High,AP Dhillon,6LEG9Ld1aLImEFEVHdWNSB,7sni37uwHitUkllYmcRO8W,Summer High,2022-08-05,,,177391,False,True,https://open.spotify.com/track/1aL9518P5G72N92b48tuKw,TCAGJ2232740,,Not available from the official Spotify Web API
hip-hop,08Isz2ETWSBhvIl8UpKYsp,No Love,Shubh,No Love,83,08Isz2ETWSBhvIl8UpKYsp,No Love,Shubh,5r3wPya2PpeTTsXsGhQU8O,5Zcgog7sQ79ISF32y9nABU,No Love,2022-02-22,,,170387,False,True,https://open.spotify.com/track/08Isz2ETWSBhvIl8UpKYsp,QZDA52252890,,Not available from the official Spotify Web API
jazz,1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.;Bill Withers",Anthology,77,1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.;Bill Withers",05YVYeV4HxYp5rrWalvuE1;1ThoqLcyIYvZn7iWbj8fsj,1lKYaRbV0AayVPss9i4oOp,Anthology,2008-05-27,,,438493,False,True,https://open.spotify.com/track/1ko2lVN0vKGUl9zrU0qSlT,USEE19901162,,Not available from the official Spotify Web API
jazz,1AM8QdDFZMq6SrrqUnuQ9P,Feeling Good,Michael Bublé,It's Time,73,1AM8QdDFZMq6SrrqUnuQ9P,Feeling Good,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,1f9vWKabhNPNQnHLleExSh,It's Time,2005-02-08,,,237333,False,True,https://open.spotify.com/track/1AM8QdDFZMq6SrrqUnuQ9P,USRE10401889,,Not available from the official Spotify Web API
